tint,text,q
21.9287,15.44918,-1.276632
21.9287,15.52351,-1.304265
21.9369,15.58958,-1.265579
21.9287,15.65564,-1.254526
21.9369,15.7217,-1.243473
21.9287,15.50699,-1.248999
21.9369,15.36658,-1.232419
21.94511,15.39136,-1.309791
21.94511,15.4657,-1.309791
21.94511,15.54003,-1.265579
21.94511,15.62261,-1.243473
21.91795,15.66135,-1.293211
21.94511,15.49873,-1.309791
21.92616,15.33925,-1.282158
21.91795,15.36403,-1.254526
21.92616,15.43011,-1.237946
21.92616,15.50444,-1.276632
21.92616,15.57051,-1.276632
21.92616,15.62832,-1.282158
21.93437,15.52922,-1.265579
21.93437,15.31447,-1.248999
21.93437,15.31447,-1.237946
21.93437,15.39707,-1.243473
21.93437,15.4714,-1.254526
21.90495,15.51614,-1.287685
21.90495,15.59872,-1.243473
21.90495,15.53265,-1.210313
21.90495,15.33442,-1.232419
21.90495,15.30138,-1.226893
21.90495,15.35921,-1.260052
21.90495,15.43355,-1.232419
21.90495,15.50788,-1.210313
21.90495,15.5822,-1.254526
21.90495,15.56569,-1.237946
21.90495,15.35921,-1.210313
21.90495,15.26834,-1.221366
21.90495,15.33442,-1.254526
21.87553,15.3709,-1.232419
21.88373,15.44523,-1.254526
21.88373,15.51956,-1.232419
21.88373,15.58563,-1.210313
21.88373,15.37916,-1.232419
21.87553,15.26351,-1.210313
21.87553,15.30481,-1.232419
21.88373,15.38742,-1.210313
21.88373,15.45349,-1.221366
21.85432,15.48171,-1.271105
21.85432,15.54778,-1.237946
21.86253,15.40738,-1.204787
21.86253,15.25869,-1.19926
21.86253,15.25869,-1.221366
21.86253,15.32478,-1.19926
21.86253,15.40738,-1.19926
21.86253,15.47345,-1.221366
21.86253,15.53952,-1.19926
21.86253,15.4239,-1.210313
21.85432,15.25043,-1.19926
21.86253,15.24217,-1.19926
21.86253,15.30826,-1.232419
21.86253,15.39086,-1.204787
21.83537,15.4296,-1.19926
21.83537,15.50394,-1.232419
21.83537,15.43786,-1.193734
21.83537,15.27266,-1.188207
21.83537,15.24788,-1.19926
21.83537,15.29744,-1.210313
21.83537,15.36352,-1.19926
21.83537,15.4296,-1.210313
21.83537,15.49568,-1.19926
21.83537,15.52871,-1.188207
